Espécie	Nome Popular	Sinonímia	Família	Bioma	Formação Vegetal	Fitofisionomias	Presença nos estados	Período de coleta de sementes	Beneficiamento de sementes	Porcentagem de germinação	Substrato da muda	Desenvolvimento da muda no viveiro	Número de sementes/kg	Armazenamento	Semeadura	Nível de sombreamento da muda no viveiro	Tolerância a Sombra	Estratégia ecológica de ocupação	Desenvolvimento da muda no campo	Recomendação de adubação no plantio no campo	Porte da planta	Período de floração	Período de frutificação	Uso Econômico	Caducifolia	Polinização	Dispersão
Astrocaryum vulgareMart.	Tucumã, Tucumã-do-pará		Arecaceae	Amazônia	Florestal, Savânica	Campinarana, Terra Firme	AP, GO, MA, PA, TO	jan/mar	O cacho deve ser colhido com facão quando os frutos apresentarem coloração alaranjada e deixado secar à sombra para amadurecimento completo dos frutos. Após amadurecimento, os frutos devem ser deixados de molho em água para amolecer e facilitar a retirada da semente para a semeadura. As sementes apresentam dormência.	20 a 49% (regular)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	120	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Direta em recipientes individuais	50%	INDIFERENTE (Tolerante no início do ciclo)	Diversidade	Lento (até 30 cm/ano)	**Amazônia S01	Palmeira	mar-jul	jan-abr	Alimentício, Aromático, Cosmético, Oleaginoso, Ornamental	NÃO	Besouros	Zoocoria (Fauna)
Astronium fraxinifoliumSchott.	Jequira, Pau-gonçalves, Gonçalave, Gonçalo-alves, Aroeira, Gonçalo, Arueira-brava, Arueira-da-mata, Gonçaleiro, Garapeiro, Aroeira-do-campo, Gonçalves, Chibatã, Ubatã, Sete-cascas, Birito, Aroeira-mole, Aroeira-vermelha, Angelim		Anacardiaceae	Cerrado, Mata Atlântica, Pantanal	Florestal, Savânica	Cerrado Típico, Cerradão, Floresta Estacional Semidecidual, Mata Ripária, Mata Seca, Mata Seca (decídua), Mata Semidecídua, Mata de Galeria	AL, AP, BA, CE, DF, GO, MA, MG, MS, MT, PA, PB, PE, PI, RJ, RN, SE, SP, TO	Cerrado - set-out ; Mata Atlântica - (set-out)out -nov ; Pantanal -  out a nov	"Os frutos devem ser coletados diretamente da árvore quando tiver início a queda espontânea. Coletados, os frutos devem ser levemente esfregados, manualmente, na peneira para remoção das ""asas"" (antigas petalas). A semeadura pode ser feita direta com o fruto."	> 80% (ótima)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	35500	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Direta em recipientes individuais	Pleno Sol	SIM (Tolerante em todo o ciclo de vida)	Diversidade	Rápido (entre 30 e 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - mai-set ; Mata Atlântica - (mai) ago - set ; Pantanal -  jul até set (Pott & Pott, 1994)	Cerrado - set-out ; Mata Atlântica - (set-out) out - nov ; Pantanal -  out até nov (Pott & Pott, 1994)	Aromático, Madeireiro, Medicinal, Melífero, Ornamental, Tanífero	SIM	Abelhas	Anemocoria (vento)
Astronium graveolensJacq.	"Aderne, Aroeira
Aroeira, Gibatan, Guaritá, Ubatan"	Astronium gracile Engl.	Anacardiaceae	Mata Atlântica	Florestal	Floresta Estacional Decidual, Floresta Ombrófila Densa	AC, AL, BA, CE, DF, ES, GO, MA, MG, MS, MT, PA, PB, PE, PI, PR, RJ, RR, SC, SP, TO	Mata Atlântica - out - nov	Levar ao sol e remover manualmente as sépalas.	> 80% (ótima)	"


Compostos orgânicos (esterco bovino, casca de eucalipto, bagaço de cana) + terra + vermiculita. Mais informações no MANUAL TÉCNICO PARA A RESTAURAÇÃO DE ÁREAS DEGRADADAS NO ESTADO DO RIO DE JANEIRO (Moraes et al., 2012).

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	31800	Armazenadas em ambiente frio (5°C), as sementes têm viabilidade relativamente durável (Durigan et al.,1997).	Direta em recipientes individuais		SIM (Tolerante em todo o ciclo de vida)	Diversidade	Lento (até 30 cm/ano)		Árvore (> 3 metros)	Mata Atlântica - ago - set	Mata Atlântica - set -out	Latex, Oleaginoso	SIM	Abelhas	Anemocoria (vento)
Astronium lecointeiDucke	Aroeira, Muiracatiara		Anacardiaceae	Amazônia	Florestal	Terra Firme	AC, AM, AP, MA, MT, PA, RO	fev/jul	"Os frutos devem ser coletados diretamente da árvore quando tiver início a queda espontânea. Coletados, os frutos devem ser levemente esfregados, manualmente, na peneira para remoção das ""asas"" (antigas petalas). A semeadura pode ser feita direta com o fruto."		"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)		Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Indireta em sementeira	50%	SIM (Tolerante em todo o ciclo de vida)	Diversidade		**Amazônia S01	Árvore (> 3 metros)	set-jan	fev/jul	Madeireiro	SIM	Abelhas	Anemocoria (vento)
Attalea maripa(Aubl.) Mart.	Inajá, Anajá, Inajaí	Attalea cryptanthera Wess. Boer, Attalea macropetala (Burret) Wess. Boer, Attalea regia (Mart.) Wess.Boer, Scheelea maripa (Aubl.) H.Wendl.	Arecaceae	Amazônia	Florestal, Savânica	Campinarana, Mata de Várzea, Terra Firme	AC, AM, MS, MT, PA, RO	nov/mai	Colher os frutos diretamente da árvore quando iniciarem a queda espontânea ou recolhê-los no chão após a queda. Os frutos assim obtidos podem ser diretamente utilizados para semeadura. Entretanto, para armazená-los é conveniente secá-los parcialmente sem despolpá-los.	< 10% (ruim)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	160	Tempo indeterminado em câmara fria.	Indireta em sementeira	50%	INDIFERENTE (Tolerante no início do ciclo)	Diversidade	Lento (até 30 cm/ano)	**Amazônia S01	Palmeira	nov-mar	jan-mar	Alimentício, Artesanal, Cosmético, Oleaginoso, Ornamental	NÃO	Besouros	Zoocoria (Fauna)
Attalea phalerataMart. ex Spreng.	Auacuri, Cabeçudo, Coqueiro-acuri, Guacuri, Ganguri, Acuri, Bacuri, Urucuri, Motacú, Urucuri, Shapaja	Attalea excelsa Mart., Attalea hoehnei Burret, Attalea phalerata var. concinna L.R.Moreno & O.I.Moreno, Scheelea corumbaensis (Barb.Rodr.) Barb.Rodr., Scheelea martiana Burret, Scheelea microspadix Burret, Scheelea phalerata (Mart. ex Spreng.) Burret	Arecaceae	Amazônia, Cerrado, Pantanal	Florestal, Savânica	Cerradão, Mata Ciliar, Mata Ripária, Mata Semidecídua, Mata de Galeria, Mata de Várzea, Palmeiral, Terra Firme	AC, DF, GO, MG, MS, MT, PA, RO, SP, TO	Cerrado - nov-mar ; Pantanal -  mai-dez	Os frutos devem ser coletados quando do início da queda espontânea. Eliminacao manual da polpa após deixar os frutos na agua para amolecimento. Semeadura pode ser feita diretamente ocom o caroço.	< 10% (ruim)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	10 a 40	Tempo indeterminado em câmara fria.	Indireta em sementeira	50%	SIM (Tolerante em todo o ciclo de vida)	Diversidade	Lento (até 30 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Palmeira	Cerrado - jan-jun ; Pantanal -  ago-jan	Cerrado - nov-mar ; Pantanal -  dez-dez	Alimentício, Artesanal, Cortiça, Condimento, Forrageiro, Fibra, Medicinal, Melífero, Ornamental	NÃO	Besouros, abelhas	Zoocoria (fauna)
Attalea speciosaMart. ex Spreng.	Babaçu	Attalea speciosa Mart. ex Spreng.	Arecaceae	Amazônia, Cerrado, Pantanal	Florestal, Savânica	Cerrado Típico, Cerradão, Mata Semidecídua, Palmeiral, Savana, Terra Firme	AC, AM, BA, CE, GO, MA, MG, MS, MT, PA, PI, RO, TO	Cerrado - ago-jan; Pantanal -  ago-jan; Amazônia - ago-jan	Colher os frutos diretamente da árvore quando iniciarem a queda espontânea ou recolhê-los no chão após a queda. Os frutos assim obtidos podem ser diretamente utilizados para semeadura. Entretanto, para armazená-los é conveniente secá-los parcialmente sem despolpá-los.	< 10% (ruim)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	10	Tempo indeterminado em câmara fria.	Indireta em sementeira	Pleno Sol	INDIFERENTE (Tolerante no início do ciclo)	Diversidade	Lento (até 30 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Palmeira	Cerrado - jan-abr ; Pantanal -  jun-out; Amazônia - jan-abr	Cerrado - ago-jan ; Pantanal -  ao longo do ano; Amazônia - ago-jan	Alimentício, Artesanal, Condimento, Fibra, Madeireiro, Medicinal, Oleaginoso, Ornamental, Goma/espessante	NÃO	Besouros	Zoocoria (fauna)
Axonopus argentinusParodi		Axonopus ramboi G.A. Black	Poaceae	Pampa	Campestre	Campo Seco, Campo Úmido	PR, RS, SC, SP	março			"




																
								[Saiba mais]
								
								



"										Erva			Forrageiro			
Axonopus aureusP. Beauv.	Capim-pé-de-galinha, Capim Perdiz, Capim-do-cerrado, Capim-ourinho	Axonopus burchellii G.A. Black, Axonopus canescens (Nees ex Trin.) Pilg., Axonopus chrysitis (Steud.) Kuhlm., Axonopus chrysostachyus (Schrad.) Pilg., Axonopus paucisetosus G.A. Black, Axonopus pulcher (Nees) Kuhlm., Axonopus sprucei G.A. Black, Axonopus sprucei var. glabratus (Döll) G.A. Black, Axonopus tenuis Renvoize	Poaceae	Cerrado	Campestre	Campo Rupestre	AM, AP, BA, DF, ES, GO, MA, MG, MS, MT, PA, PB, PE, PR, RJ, RO, SE, SP, TO	Maio	Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) ou peneira para desagregação das sementes.		"




																
								[Saiba mais]
								
								



"		1666667					Recobrimento			Erva		Maio		NÃO	Vento	Anemocoria (vento)
Axonopus brasiliensis(Spreng.) Kuhlm.		Anastrophus dissitiflorus Schldl. ex Jackson, Axonopus bijugus (Steud.) Chase, Axonopus dissitiflorus (Trin.) Chase, Eriochloa brasiliensis Spreng., Lappagopsis bijuga Steud., Paspalum brasiliense (Spreng.) Hack., Paspalum dissitiflorum Trin., Paspalum tenuis Nees ex Trin.	Poaceae	Cerrado	Campestre, Savânica	Campo Limpo, Campo Sujo, Palmeiral	AM, BA, DF, GO, MG, MS, MT, PR, SC, SP	Cerrado - jan-jun	Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.	< 10% (ruim)	"




																
								[Saiba mais]
								
								



"				Indireta em sementeira						Erva	Cerrado - out-mai	Cerrado - jan-jun	Forrageiro	NÃO	Vento	Anemocoria (vento)
Axonopus capillaris(Lam.) Chase			Poaceae	Cerrado	Campestre	Campo Rupestre	AM, AP, BA, CE, DF, GO, MA, MG, PA, PE, PR, RN, SP, TO	Cerrado - dez-fev	Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.	< 10% (ruim)	"




																
								[Saiba mais]
								
								



"				Indireta em sementeira						Erva	Cerrado - abr-set	Cerrado - out-fev		NÃO	Vento	Anemocoria (vento)
Axonopus compressus(Sw.) P. Beauv.		Axonopus jesuiticus (Araújo) Valls	Poaceae	Pampa	Campestre	Campo Úmido	AC, AL, AM, AP, BA, CE, DF, ES, GO, MA, MG, MS, MT, PA, PB, PE, PI, PR, RJ, RN, RO, RR, RS, SC, SE, SP, TO				"




																
								[Saiba mais]
								
								



"							Recobrimento			Erva						
Axonopus fissifolius(Raddi) Kuhlm.	Grama-tapete	Axonopus affinis Chase	Poaceae	Pampa	Campestre	Banhado, Campo Seco, Campo Úmido	AC, AL, AM, AP, BA, CE, DF, ES, GO, MA, MG, MS, MT, PA, PB, PE, PI, PR, RJ, RN, RO, RR, RS, SC, SE, SP, TO				"




																
								[Saiba mais]
								
								



"										Erva	nov-abr					
Axonopus marginatus(Trin.) Chase		Axonopus kleinii L.B. Sm. & Wassh., Axonopus longecilius (Hack.) Parodi, Axonopus marginatus (Trin.) Kuhlm., Paspalum erythrochaetum Mez, Paspalum marginatum Trin.	Poaceae	Cerrado	Campestre	Campo Rupestre	BA, DF, GO, MG, MS, MT, PE, PR, SP, TO	Cerrado - abr-mai	Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.		"




																
								[Saiba mais]
								
								



"										Erva	Cerrado - fev-jul	Cerrado - abr-mai	Forrageiro	NÃO	Vento	Anemocoria (vento)
Axonopus obtusifolius(Raddi)	Grama De Folha Larga, Grama Dos Pastos, Grama São Carlos		Poaceae	Pampa	Campestre	Banhado, Campo Úmido	DF, MG, PR, RJ, RS, SC, SP				"




																
								[Saiba mais]
								
								



"										Erva	dez-mar					
Axonopus pellitus(Nees ex Trin.) Hitchc. & Chase		Anastrophus pellitus Schlecht, Axonopus swallenii G.A. Black, Paspalum barbatum var. pellitum (Nees ex Trin.) Döll, Paspalum dolichostachyus Trin. ex Nees, Paspalum pellitum Nees	Poaceae	Cerrado	Campestre	Campo Rupestre	BA, DF, ES, GO, MA, MG, MS, MT, PA, PR, RJ, SC, SP, TO	Cerrado - fev	Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.	< 10% (ruim)	"




																
								[Saiba mais]
								
								



"		8333333		Indireta em sementeira						Erva	Cerrado - jan	Cerrado - fev		NÃO	Vento	Anemocoria (vento)
Axonopus pressus(Nees ex Steud.) Parodi	Grama-do-cerrado	Axonopus derbyanus G.A. Black, Paspalum pressum Nees ex Steud.	Poaceae	Cerrado	Campestre	Campo Rupestre	BA, DF, ES, GO, MA, MG, MS, PA, PR, RN, RS, SP, TO	Cerrado - mai-jun	Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.	< 10% (ruim)	"




																
								[Saiba mais]
								
								



"				Indireta em sementeira						Erva	Cerrado - fev	Cerrado - mai-jun		NÃO	Vento	Anemocoria (vento)
Axonopus purpusii(Mez) Chase		Paspalum flexile Mez	Poaceae	Cerrado	Campestre, Florestal, Savânica	Campo Limpo, Mata Ciliar, Mata de Galeria, Palmeiral	AC, AP, BA, GO, MG, MS, MT, PA, PR, RS, SC, SP		Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.		"




																
								[Saiba mais]
								
								



"							Recobrimento			Erva	out-fev		Forrageiro	NÃO	Vento	Anemocoria (vento)
Axonopus siccus(Nees) Kuhlm.		Axonopus barbiger (Kunth) Hitchc., Axonopus pellitus (Ness ex Trin.) Hitchc. & Chase, Axonopus barbigerum (Kunth) Hitchc.	Poaceae	Cerrado	Campestre	Campo Rupestre	BA, DF, ES, GO, MA, MG, MS, MT, PA, PR, RJ, SC, SP, TO	Cerrado - jun-fev	Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.	> 80% (ótima)	"




																
								[Saiba mais]
								
								



"				Indireta em sementeira						Erva	Cerrado - dez-jul	Cerrado - jun-fev		NÃO	Vento	Anemocoria (vento)
Axonopus suffultus(Mikan ex Trin.) Parodi			Poaceae	Pampa	Campestre	Campo Seco, Campo Úmido	BA, DF, ES, GO, MG, MS, MT, PE, PR, RJ, RS, SC, SP, TO	novembro			"




																
								[Saiba mais]
								
								



"										Erva	nov-dez		Forrageiro			
Baccharis dracunculifoliaDC.	Alecrim-do-campo	Baccharis bracteata Hook. & Arn., Baccharis dracunculifolia var. integerrima Kuntze, Baccharis pulverulenta Klatt, Baccharis tandilensis Speg.	Asteraceae	Cerrado	Campestre	Campo Limpo, Campo Rupestre	BA, CE, DF, ES, GO, MA, MG, MS, MT, PB, PE, PI, PR, RJ, RN, RO, RR, RS, SC, SE, SP, TO	Cerrado - jan-jul	Coleta de infrutescências (flores secas) com uso de foice de mão. Observe que nas inflorescências maduras há sementes dispersando (saindo naturalmente das flores secas com o vento).  Passar as flores secas em peneiras para separar as sementes.	50 a 80% (boa)	"




																
								[Saiba mais]
								
								



"				Indireta em sementeira						Arbusto	Cerrado - nov-abr	Cerrado - jan-jul		NÃO	Abelhas	Anemocoria (vento)
Baccharis humilisSch.Bip. ex Baker		Baccharis linearifolia (Lam.) Pers.	Asteraceae	Cerrado	Campestre	Campo Rupestre	ES, MA, MG, MS, MT, SP	Cerrado - nov-jun	Coleta de infrutescências (flores secas) com uso de foice de mão. Observe que nas inflorescências maduras há sementes dispersando (saindo naturalmente das flores secas com o vento).  Passar as flores secas em peneiras para separar as sementes.		"




																
								[Saiba mais]
								
								



"										Subarbusto	Cerrado - set-abr	Cerrado - nov-jun		NÃO	Abelhas	Anemocoria (vento)
Bactris gasipaesKunth.	Pupunha, Pupunheira, Pirajá-pupunha, Pupunha-marajá		Arecaceae	Amazônia	Florestal	Mata de Várzea, Terra Firme	AC, AM, MT, PA, RO	mar-dez	O cacho deve ser colhido com facão quando os frutos apresentarem coloração alaranjada e deixado secar à sombra para amadurecimento completo dos frutos. Após amadurecimento, os frutos devem ser deixados de molho em água para amolecer e facilitar a retirada da semente para a semeadura. As sementes apresentam dormência.	> 80% (ótima)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	270 a 500		Direta em recipientes individuais	50%	INDIFERENTE (Tolerante no início do ciclo)	Diversidade		**Amazônia S01	Palmeira	ago-out	dez-mar	Alimentício, Artesanal, Oleaginoso	NÃO	Besouros	Zoocoria (Fauna)
Bagassa guianensisAubl.	Tatajuba		Moraceae	Amazônia	Florestal, Savânica	Savana, Terra Firme	AP, MA, MG, MS, MT, PA, RO, RR	fev/out	Os frutos devem se colhidos diretamente da árvore quando maduros. Em seguida, deixá-los amontoados em saco plástico até o apodrecimento parcial da polpa. Remover as sementes com o auxilio de água corrente na peneira e deixá-las secar em ambiente arejado à sombra.	50 a 80% (boa)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Muito Rápido ( > 100 cm/ano)	203665		Indireta em sementeira	50%		Diversidade	Muito Rápido ( > 100 cm/ano)	**Amazônia S01	Árvore (> 3 metros)	abr-ago	set-fev	Fibra, Madeireiro	NÃO	Vento	Zoocoria (Fauna)
Banara guianensisAubl.	Andorinheira-preta, Crueri, Sardinheira, Sabineira, Durão, Arrebenta-laço, Mulquem	Banara kuhlmannii (Sleumer) Sleumer	Salicaceae	Amazônia	Florestal	Mata de Várzea, Terra Firme	AC, AL, AM, AP, BA, CE, ES, MA, MS, PA, PE, RJ, RO, RR	mar-mai	Colher os frutos diretamente na árvore quando maduros. Depois, despolpar manualmente em água corrente com auxilio de peneira. Deixar as sementes secarem um pouco à sombra.	20 a 49% (regular)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"		200000		Indireta em sementeira	Pleno Sol		Diversidade		**Amazônia S01	Árvore (> 3 metros)	nov-fev	mar-mai	Alimentício, Madeireiro, Medicinal	NÃO	Abelhas	Zoocoria (Fauna)
