id,Espécie,Nome Popular,Sinonímia,Gênero,Família,Bioma,Formação Vegetal,Fitofisionomias,Presença nos estados,Período de coleta de sementes,Beneficiamento de sementes,Porcentagem de germinação,Substrato da muda,Desenvolvimento da muda no viveiro,Número de sementes/kg,Armazenamento,Semeadura,Nível de sombreamento da muda no viveiro,Tolerância a Sombra,Estratégia ecológica de ocupação,Desenvolvimento da muda no campo,Recomendação de adubação no plantio no campo,Porte da planta,Período de floração,Período de frutificação,Uso Econômico,Caducifolia,Polinização,Dispersão
242,Crudia oblonga,Rim-de-paca,Crudia pubescens|Spruce ex,Crudia,Fabaceae,amazonia,florestal,mata de varzea,am|ap|pa,all: (mar-abr),Colher os frutos diretamente no solo quando iniciarem a queda expontânea. Os frutos poderão ser usados diretamente na semeadura.,3.0,s1,0.0,0.45,,2.0,1.0,2.0,diversidade,0.0,s01,arvore,all: (ago-set),all: (set-abr),madeireiro,0.0,abelhas,autocoria|hidrocoria
243,Ctenium chapadense,,,Ctenium,Poaceae,cerrado,campestre|florestal,campo rupestre|campo sujo|mata de galeria,ba|df|mg|mt,cerrado: (mar-mai),Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.,2.0,,,,,1.0,,,,,,erva,cerrado: (fev-ago),cerrado: (mar-mai),forrageiro,0.0,vento,epizoocoria
244,Cupania oblongifolia,Covatã|Camboatá|Camboatá-de-folha-larga,,Cupania,Sapindaceae,mata atlantica,florestal|savanica,floresta estacional semidecidual|floresta ombrofila densa|restinga arborea/arbustiva,al|ap|ba|es|mg|pa|pb|pe|pr|rj|rn|rs|se|sp,mata atlantica: (set-out),"Colher os frutos após a abertura espontânea, levá-los ao sol para completar a abertura e liberação das sementes.",2.0,ga,0.0,1.4,"Não devem ser armazenadas, pois são recalcitrantes. Se o armazenamento for necessário ele deve ser curto.",1.0,,2.0,diversidade,1.0,,arvore,mata atlantica: (jun-jul),mata atlantica: (jul-set),latex|madeireiro|medicinal,0.0,abelhas,zoocoria
245,Cupania scrobiculata,Pitombarana,,Cupania,Sapindaceae,amazonia,florestal|savanica,campinarana|terra firme,ac|am|ap|ba|ma|mt|pa|ro|rr,all: (mar-mai),Colher os frutos diretamente na árvore logo que iniciar a abertura espontânea dos frutos. Deixar secar à sombra para completar a abertura e liberação das sementes. As sementes devem ser postas para germinar logo após a colheita.,2.0,s1,1.0,1.8,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,2.0,1.0,0.0,recobrimento,1.0,s01,arvore,all: (nov-fev),all: (mar-mai),,1.0,abelhas,zoocoria
246,Cupania vernalis,Em GO: Assa-leitão|Em MT|Camboatá E Cragoatã|Em MG: Camboatã|Camboatá|Gragoatá E Pau-de-cantil|No PR: Camboatá|Cambratá|Cuvatã|Miguel-pintado E Pau-de-cantil|No RS|Arco-de-peneira|Camboatá|Camboatá-vermelho|Em SC: Camboatá|Camboatá-branco|Camboatá-vermelho|Covatã|Miguel-pintado|Em SP|Arco-de-pipa|Arco-de-peneira|Camboatã|Camboatá|Cuvantã|Pau-de-cantil E Pau-de-espeto.,,Cupania,Sapindaceae,pampa,florestal|savanica,floresta estacional|mata ciliar|restinga|vegetacao savanoide,am|ba|es|mg|pa|pr|rj|rs|sc|sp,,"Os frutos devem ser colhidos diretamente da árvore, quando iniciar a abertura espontânea. Levar ao sol para completar a abertura do fruto. retirar o arilo.",1.0,,0.0,2.5,"recalcitrante, no máximo 6 meses",2.0,,2.0,diversidade,0.0,,arvore,all: (mar-ago),all: (set-dez),latex|madeireiro|medicinal|oleaginoso|tanifero,0.0,borboletas|mariposas|abelhas|insetos pequenos,zoocoria
247,Curatella americana,Lixeira|Lixa|Cajueiro-bravo|Caimbé|Cajueiro-bravo-do-campo|Pentieira|Sambaíba|Cajueiro-do-mato|Cambarba|Marajoara,,Curatella,Dilleniaceae,cerrado|pantanal,campestre|florestal|savanica,campo sujo|campo nao inundavel|cerrado rupestre|cerrado tipico|cerradao|mata seca (decidua)|mata semidecidua|vereda,al|am|ap|ba|ce|df|go|ma|mg|ms|mt|pa|pb|pe|pi|rn|ro|rr|se|sp|to,cerrado: (ago-out); pantanal: (out-nov),Colher os frutos diretamente da árvore através do corte de toda a infrutescência quando iniciarem a abertura espontânea. Isso é facilmente observado pela exposição do interior do fruto de coloração avermelhada. Levar as infrutescências ao sol para que se complete a abertura dos frutos e retirar manualmente as sementes. Importante utilizar luva de couro para proteção.,1.0,t1,0.0,57.8,Tempo indeterminado em câmara fria.,1.0,3.0,0.0,diversidade,0.0,p2,arvore,cerrado: (jun-out); pantanal: (ago-set),cerrado: (set-dez); pantanal: (out-nov),artesanal|forrageiro|madeireiro|medicinal|melifero|ornamental|tanifero|tintorial,1.0,abelhas,zoocoria
248,Cybistax antisyphillitica,Ipê-verde|Caroba-de-flor-verde,Bignonia antisyphilitica|Bignonia quinquefolia|Bignonia rivularis|Bignonia viridiflora|Cybistax antisyphilitica|Cybistax antisyphilitica|Cybistax antisyphilitica|Cybistax coriacea|Mello ex|Cybistax coriacea|Cybistax coriacea|Cybistax intermedia|Cybistax quinquefolia|Cybistax sprucei|Cybistax subtomentosa|Cybistax tinctoria|Phryganocydia antisyphilitica|Yangua tinctoria,Cybistax,Bignoniaceae,cerrado|mata atlantica|pantanal,campestre|florestal|savanica,campo sujo|cerrado rupestre|cerrado tipico|cerradao|floresta estacional semidecidual|floresta ombrofila densa|mata seca (decidua)|mata semidecidua,ba|ce|df|es|go|ma|mg|ms|mt|pa|pi|pr|rj|rs|sc|sp|to,cerrado: (abr-out); mata atlantica: (mai-out); pantanal: (abr-out),Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea quando iniciar escurecimento da casca do fruto e deixá-los secar ao sol para completar sua abertura e a liberação das sementes.  Preferência para coleta dos frutos no início da sua maturação.,1.0,t1,0.0,27.7,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,1.0,1.0,0.0,diversidade,0.0,p2,arvore,cerrado: (ago-mar); mata atlantica: (dez-mar) (ago-mar),cerrado: (mai-out); mata atlantica: (mar-mai); pantanal: (mai-out),artesanal|madeireiro|medicinal|ornamental|tintorial,1.0,abelhas,anemocoria
249,Dalbergia cearensis,Violete|Jacarandá-cega-machado|Jacarandá-violeta|Pau-violeta|Violeta (BA|CE|PE). Sinonimos Estrangeiros: Brazilian Kingwood|Kingwood|Violetwood¹,Dalbergia variabilis,Dalbergia,Fabaceae,caatinga,florestal|savanica,caatinga arborea|caatinga arbustiva|mata brejo de altitude,ba|ce|ma|mg|pb|pe|pi|rn,all: (ago-dez),"Em seguida, devem ser expostos ao sol, para",3.0,t3,0.0,2.6,Tempo indeterminado em câmara fria.,2.0,2.0,1.0,diversidade,0.0,p3,arvore,all: (dez-fev),all: (jul-dez),artesanal|aromatico|madeireiro|melifero|ornamental,1.0,abelhas,anemocoria
250,Dalbergia miscolobium,Jacarandá-do-cerrado|Caviúna-do-cerrado,,Dalbergia,Fabaceae,cerrado,florestal|savanica,cerrado rupestre|cerrado tipico|cerradao,ba|ce|df|go|ma|mg|ms|mt|pi|pr|sp,cerrado: (mai-out),"Colher os frutos diretamente da árvore quando iniciarem a queda espontânea. Os frutos podem ser diretamente utilizados para a semeadura como se fossem sementes, mas esse processo pode gerar mudas defeituosas, o que é contornado retirando-se a semente da vagem.",2.0,t1,0.0,10.7,De um a dois anos em câmara fria.,2.0,3.0,0.0,diversidade,0.0,p2,arvore,cerrado: (nov-fev),cerrado: (mai-jul),artesanal|madeireiro|ornamental|tintorial,1.0,abelhas,anemocoria
251,Dalbergia nigra,Jacarandá-da-bahia|Jacarandá-negro,Pterocarpus niger,Dalbergia,Fabaceae,mata atlantica,florestal,floresta estacional semidecidual|floresta ombrofila densa,al|ba|es|mg|pb|pi|pr|rj|sc|sp,mata atlantica: (ago-set),colher os frutos quando ocorrer a abertura espontânea. Em seguida levar ao sol para completar a liberação das sementes.,4.0,ga,0.0,10.0,"Câmara fria-seca (11°C e U.R, 26%) em papel kraft",2.0,,2.0,diversidade,1.0,,arvore,mata atlantica: (set-nov),mata atlantica: (jan-set),alimenticio|latex|oleaginoso|ornamental,1.0,abelhas,anemocoria
252,Dalbergia spruceana,Jacarandá-do-pará,,Dalbergia,Fabaceae,amazonia,florestal|savanica,campinarana|savana|terra firme,ac|am|ap|ma|pa|ro,all: (ago-set),"Colher os frutos diretamente da árvore quando iniciarem a queda espontânea. Os frutos podem ser diretamente utilizados para a semeadura como se fossem sementes, no entanto retirando-se a semente da vagem a taxa de germinação pode aumentar.",,s1,1.0,,Tempo indeterminado em câmara fria.,1.0,3.0,0.0,diversidade,,s01,arvore,all: (ago-mai),all: (jun-set),,0.0,abelhas,anemocoria
253,Danthonia montevidensis,,,Danthonia,Poaceae,pampa,campestre,campo umido,pr|rs|sc,,,,,,,,,,2.0,,,,erva,,,forrageiro,,,
254,Dasyphyllum spinescens,Sucará,Flotovia spinescens,Dasyphyllum,Asteraceae,pampa,florestal,floresta estacional|mata ciliar,es|mg|pr|rj|rs|sc|sp,,"colher os capítulos diretamente da árvore e deixar secando longe do vento, esfregar os capítulos para separação da semente.",,,,2000.0,,1.0,,2.0,recobrimento,1.0,,arvore,,,artesanal|latex|oleaginoso,1.0,insetos|abelhas,anemocoria
255,Davilla elliptica,Lixeirinha,Davilla cuatrecasasii,Davilla,Dilleniaceae,cerrado|pantanal,campestre|florestal|savanica,campo rupestre|campo sujo|campo de altitude (morraria)|cerrado rupestre|cerrado tipico|cerradao,ba|df|go|ma|mg|ms|mt|pa|pi|ro|sp|to,cerrado: (nov-nov); pantanal: (mai-jul),Colher os frutos maduros (quando iniciarem a abertura espontânea). Separar as sementes e semear em seguida.,0.0,t1,,19.6,,1.0,3.0,0.0,diversidade,,p1,arbusto,cerrado: (jun-set); pantanal: (abr-jul),cerrado: (jul-out); pantanal: (abr-jul),artesanal|medicinal|ornamental|tanifero|tintorial,1.0,abelhas,zoocoria
256,Desmodium adscendens,Pega-pega,Desmodium arinense,Desmodium,Fabaceae,pampa,campestre|savanica,campo umido|vegetacao savanoide,ac|al|am|ap|ba|ce|df|es|go|ma|mg|ms|mt|pa|pb|pe|pi|pr|rj|rn|ro|rr|rs|sc|se|sp|to,all: (dez-mai),propaga-se por sementes e meios vegetativos,,,,,,,,2.0,,,,erva,,,forrageiro|medicinal,,,epizoocoria
257,Desmodium barbatum,,,Desmodium,Fabaceae,pampa,campestre,campo umido,ac|al|am|ap|ba|ce|df|es|go|ma|mg|ms|mt|pa|pb|pe|pi|pr|rj|rn|ro|rr|rs|sc|se|sp|to,all: (dez-jan),,,,,,,,,,,,,erva,,,forrageiro,,,epizoocoria
258,Desmodium incanum,Pega-pega,,Desmodium,Fabaceae,pampa,campestre,banhado|campo seco|campo umido,ac|al|am|ap|ba|ce|df|es|go|ma|mg|ms|mt|pa|pb|pe|pi|pr|rj|rn|ro|rr|rs|sc|se|sp|to,all: (mar-mar),"Possui dormência, recomenda-se escarificação com lixa.",,,,,,,,,,,,erva,all: (out-mai),all: (dez-mar),forrageiro,,,epizoocoria
259,Dialium guianense,Jutaí|Pororoca|Cururu,Dialium divaricatum,Dialium,Fabaceae,amazonia,florestal,mata de varzea|terra firme,ac|al|am|ap|ba|es|ma|mg|mt|pa|pe|pi|ro|rr|se|to,all: (jul-ago),Colher os frutos diretamente na árvore quando adquirirem coloração marrom escuro. Quebrar os frutos para retirada das sementes. Escarificar as sementes mecanicamente ou colocá-las em água fervendo para melhorar a germinação.,3.0,s1,1.0,4.0,Tempo indeterminado em câmara fria.,2.0,1.0,1.0,diversidade,1.0,s01,arvore,all: (nov-fev),all: (mar-ago),alimenticio|madeireiro|medicinal,0.0,abelhas,zoocoria
260,Dichanthelium sabulorum,,Panicum sabulorum,Dichanthelium,Poaceae,pampa,campestre|savanica,campo seco|campo umido|vegetacao savanoide,mg|pb|pr|rj|rs|sc|sp,all: (nov-nov),,,,,,,,,,,,,erva,,,ornamental,,,
261,Dilodendron bipinnatum,Maria-pobre|Farinha-seca|Mamona-pobre|Maria-mole|Puta-pobre|Pau-pobre,,Dilodendron,Sapindaceae,cerrado|pantanal,campestre|florestal|savanica,campo de altitude (morraria)|cerrado tipico|cerradao|chaco|mata riparia|mata seca|mata seca (decidua)|mata semidecidua|mata de galeria,ac|ba|df|go|mg|ms|mt|rj|sp|to,cerrado: (set-nov); pantanal: (out-dez),Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea. Em seguida levá-los ao sol para completar abertura e a liberação das sementes. Não é necessário retirar a pequena porção de arilo que recobre parcialmente as sementes; apenas deixá-las ao sol para secar parcialmente.,3.0,t3,1.0,2.24,Tempo indeterminado em câmara fria.,2.0,3.0,0.0,recobrimento,1.0,p3,arvore,cerrado: (mai-jun); pantanal: (jun-set),cerrado: (set-nov); pantanal: (out-dez),artesanal|oleaginoso|ornamental,1.0,abelhas,zoocoria
262,Dimorphandra mollis,Fava-de-anta|Faveiro-do-cerrado|Faveira-do-campo|Faveira|Farinha|Barbatimão-de-folha-miuda|Barbatimão-falso|Canafístula,,Dimorphandra,Fabaceae,cerrado|pantanal,florestal|savanica,cerrado rupestre|cerrado tipico|cerradao,am|ba|ce|df|go|ma|mg|ms|mt|pi|ro|sp|to,cerrado: (jun-out),"Os frutos devem ser coletados diretamente do chão, quando iniciar queda espontânea, quando apresentarem coloração escura. Para retirar as sementes dos frutos, recomenda-se socar no pilão com cuidado para não danificar as sementes. Outra opção é bater com martelo de borracha diretamente na vagem. Sementes precisam de escarificação mecânica.",2.0,t1,0.0,4.1,Tempo indeterminado em câmara fria.,1.0,3.0,0.0,diversidade,0.0,p2,arvore,cerrado: (out-fev); pantanal: (nov-abr),cerrado: (ago-mar); pantanal:,alimenticio|artesanal|forrageiro|madeireiro|medicinal|melifero|tanifero|toxico para animais,1.0,abelhas,zoocoria
263,Dinizia excelsa,Angelim-vermelho|Angelim-falso|Faveira-dura|Faveira|Angelim|Angelim-pedra,,Dinizia,Fabaceae,amazonia,florestal,terra firme,ac|am|ap|pa|ro|rr|to,all: (jan-mar),Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea. Em seguida deixá-los ao sol para completarem a abertura e liberação das sementes. As sementes apresentam dormência.,2.0,s1,1.0,7.7,,1.0,1.0,1.0,diversidade,,s01,arvore,all: (jul-ago),all: (ago-mar),madeireiro|ornamental,0.0,abelhas,anemocoria
264,Diospyros hispida,Caquizeiro-do-mato|Fruta-de-boi|Fruta-de-jacu-fêmea|Caqui-do-cerrado|Bacupari-bravo|Olho-de-boi,Diospyros hispida|Diospyros burchellii|Diospyros coccolobifolia|Diospyros mattogrossensis,Diospyros,Ebenaceae,cerrado|pantanal,campestre|florestal|savanica,campo sujo|cerrado tipico|cerradao|mata riparia|mata de galeria,al|ce|df|es|go|ma|mg|ms|mt|pa|pb|pe|pi|pr|rj|ro|sp|to,cerrado: (dez-abr); pantanal: (fev-mai),Colher os frutos diretamente da árvore quando iniciarem a queda espontânea ou recolhê-los no chão logo após a queda. Em seguida deixá-lo amontoados em saco plástico durante alguns dias até sua decomposição parcial para facilitar a retirada das sementes através de lavagem em água corrente.,1.0,t1,0.0,1.1,Tempo indeterminado em câmara fria.,1.0,3.0,1.0,diversidade,0.0,p2,arvore,cerrado: (ago-out); pantanal: (ago-nov),cerrado: (dez-fev); pantanal: (nov-mai),artesanal|forrageiro|madeireiro|melifero|ornamental|toxico para animais,1.0,mariposas,zoocoria
265,Diospyros inconstans,Maria-preta|Fruto-de-jacu-macho,Maba inconstans|Macreightia obovata,Diospyros,Ebenaceae,pampa,florestal,floresta estacional|mata ciliar|restinga,ac|ba|ce|df|es|go|ma|mg|ms|mt|pa|pb|pe|pi|pr|rj|rn|ro|rs|sc|sp|to,,colher os frutos diretamente da árvore quando iniciarem a queda espontânea ou recolher do chão. Amassar os frutos em água corrente para liberação da semente.,,,0.0,2.37,"recalcitrante, perdendo o poder germinativo em 30 dias",1.0,,0.0,diversidade,1.0,,arvore,all: (set-nov),all: (jan-mai),alimenticio|oleaginoso,0.0,insetos,zoocoria
266,Diospyros sericea,Caqui-do-cerrado,,Diospyros,Ebenaceae,cerrado,florestal|savanica,cerrado tipico|cerradao|mata de galeria,ba|ce|df|go|ma|mg|mt|pi|ro|to,cerrado: (dez-jan),Colher os frutos diretamente da árvore quando iniciarem a queda espontânea ou recolhê-los no chão logo após a queda. Em seguida deixá-lo amontoados em saco plástico durante alguns dias até sua decomposição parcial para facilitar a retirada das sementes através de lavagem em água corrente.,3.0,t3,0.0,4.3,Tempo indeterminado em câmara fria.,2.0,1.0,1.0,diversidade,0.0,p3,arvore,cerrado: (set-out),cerrado: (dez-jan),,0.0,mariposas,zoocoria
267,Diplokeleba floribunda,Canela-de-cotia|Farinha Seca,,Diplokeleba,Sapindaceae,pantanal,florestal|savanica,chaco|mata seca (decidua)|mata semidecidua,ms,pantanal: (set-dez),"Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea. Em seguida deixá-los ao sol até completar a abertura e a liberação das sementes (Lorenzi, 1998b).",4.0,t3,,12.2,,1.0,3.0,2.0,recobrimento,1.0,,arvore,pantanal: (nov-dez),pantanal: (jun-dez),madeireiro|melifero|ornamental|tanifero,0.0,abelhas,anemocoria
268,Diplotropis purpurea,Sucupira-preta,Tachigali purpurea|Dibrachion guianense,Diplotropis,Fabaceae,amazonia,florestal,terra firme,ac|am|ap|mt|pa|ro|rr,all: (mar-mai),Colher os frutos na árvore quando estiverem secos. Remover manualmente os aparatos de voo para diminuir o volume no recipiente.,3.0,s1,1.0,15.0,Tempo indeterminado em câmara fria.,2.0,1.0,2.0,recobrimento,1.0,s01,arvore,all: (out-fev),all: (nov-mai),madeireiro,0.0,abelhas,anemocoria
269,Dipteryx alata,Baruzeiro|Barujo|Bauí|Bugreiro|Chuva-de-ouro|Guaiçára|Emburena-brava|Fava-de-cumaru|Sucupira-branca|Cumbaru|Cumaru|Baru|Barujo|Coco-feijão|Cumarurana|Emburena-brava|Feijão-coco|Pau-cumaru,Coumarouna alata,Dipteryx,Fabaceae,cerrado|pantanal,florestal|savanica,cerrado tipico|cerradao|mata ciliar|mata seca|mata seca (decidua)|mata semidecidua,ac|am|ba|ce|df|go|ma|mg|ms|mt|pa|pi|rj|sp|to,cerrado: (out-nov); pantanal: (nov-dez),"Colher os frutos quando tiver inicio a queda espontânea, recolhendo-os do chão. Retirar sementes do fruto utilizando máquina específica. Entretanto, para a produção de mudas ou semeadura direta, pode-se plantar diretamente o fruto.",4.0,t3,1.0,0.895,Tempo indeterminado em câmara fria.,2.0,3.0,1.0,diversidade,1.0,p3,arvore,cerrado: (nov-fev); pantanal: (out-nov),cerrado: (ago-set); pantanal:,alimenticio|aromatico|forrageiro|madeireiro|medicinal|melifero|oleaginoso|ornamental,1.0,abelhas,zoocoria
270,Dipteryx odorata,Umarurana|Cumaru-verdadeiro|Cumaru-amarelo|Cumaru-da-folha-grande|Cumaruzeiro|Cumaru-de-cheiro|Cumaru-do-Amazonas,Coumarouna odorata|Dipteryx tetraphylla,Dipteryx,Fabaceae,amazonia,florestal,terra firme,ac|am|ap|ma|mt|pa|ro|rr,all: (abr-jul),"Colher os frutos quando tiver inicio a queda espontânea, recolhendo-os do chão. Retirar sementes do fruto utilizando máquina específica. Entretanto, para a produção de mudas ou semeadura direta, pode-se plantar diretamente o fruto.",4.0,s1,2.0,0.322,Tempo indeterminado em câmara fria.,2.0,1.0,1.0,diversidade,,s01,arvore,all: (ago-fev),all: (nov-jul),alimenticio|artesanal|aromatico|cosmetico|madeireiro|medicinal|oleaginoso|ornamental,0.0,abelhas,zoocoria
271,Diptychandra aurantiaca,Carvão-vermelho|Balsemim,,Diptychandra,Fabaceae,pantanal,florestal,cerradao|mata semidecidua,ba|ce|es|go|ma|mg|ms|mt|pi|ro|sp,pantanal: (set-dez),"Colher os frutos (vagens) diretamente da árvore quando iniciarem a abertura espontânea. Em seguida, levá-los ao sol para completar a abertura e liberação das sementes (Lorenzi, 1998a).",1.0,t3,0.0,1.7,,1.0,1.0,0.0,diversidade,0.0,,arvore,pantanal: (out-dez),pantanal: (jun-dez),madeireiro|ornamental,1.0,abelhas,anemocoria
272,Dodonaea viscosa,No PR E SC: Vassoura-vermelha E Vassourão|No RS: Vassoura-ferro|Vassoura-vermelha|Vassourão|Em SP: Vassourinha-vermelha.,,Dodonaea,Sapindaceae,pampa,florestal|savanica,floresta estacional|mata ciliar|restinga|vegetacao savanoide,al|ba|ce|es|ma|mg|pa|pb|pe|pr|rj|rn|ro|rs|sc|sp,,Os frutos devem ser colhidos quando adquirirem coloração preta. Deixar secando ao sol para secar e facilitar a separação das sementes por meio de maceração manual. É recomendado embebição das sementes em água aquecida a 95C por 15 minutos.,,,,115.0,ortodoxa,1.0,,0.0,recobrimento,2.0,,arvoreta,,,latex|madeireiro|medicinal|oleaginoso,1.0,insetos pequenos,anemocoria
